trade,first_interval_index,last_interval_index,first_booking,last_booking,direction,bars,pnl_log,mfe_log,mae_log,giveback_log,losing_never_favorable,losing_after_favorable,boundary_clipped,exit_day,year,outcome,trading_day,day_index,stage
455,6789,6809,2021-08-11 13:26:00,2021-08-12 09:41:00,-1,21,-0.0042066554842511757,0.006403775371118638,-0.0042066554842511757,0.010610430855369814,False,True,False,2021-08-12,2021,-1,2021-08-12,148,29
456,6810,6819,2021-08-12 09:46:00,2021-08-12 10:31:00,1,10,0.0022191706394969314,0.0092589193750975164,-0.00090668687737681278,0.007039748735600585,False,False,False,2021-08-12,2021,1,2021-08-12,148,29
457,6820,6835,2021-08-12 10:36:00,2021-08-12 13:26:00,-1,16,0.00094238871082006053,0.0078488637581502485,0,0.006906475047330188,False,False,False,2021-08-12,2021,1,2021-08-12,148,29
458,6836,6853,2021-08-12 13:31:00,2021-08-12 14:56:00,1,18,-0.0033369041855605586,0.0017897798953050352,-0.0037532239251291243,0.005126684080865594,False,True,False,2021-08-12,2021,-1,2021-08-12,148,29
459,6854,6861,2021-08-13 09:36:00,2021-08-13 10:11:00,-1,8,0.0037151510783080231,0.013958795483072595,0,0.010243644404764572,False,False,False,2021-08-13,2021,1,2021-08-13,149,29
460,6862,6870,2021-08-13 10:16:00,2021-08-13 10:56:00,1,9,-0.0042564997991399716,0.0040052108578784223,-0.0042564997991399716,0.0082617106570183931,False,True,False,2021-08-13,2021,-1,2021-08-13,149,29
461,6871,6908,2021-08-13 11:01:00,2021-08-16 10:16:00,-1,38,0.014658164686814459,0.024062510966831874,0,0.0094043462800174147,False,False,False,2021-08-16,2021,1,2021-08-16,150,30
462,6909,6921,2021-08-16 10:21:00,2021-08-16 11:21:00,1,13,0.0025770387352603832,0.0096170637081059267,-0.0024090872302186986,0.0070400249728455435,False,False,False,2021-08-16,2021,1,2021-08-16,150,30
463,6922,6959,2021-08-16 11:26:00,2021-08-17 10:41:00,-1,38,0.003306256858636546,0.011362949766892696,-0.0035069725711210395,0.0080566929082561498,False,False,False,2021-08-17,2021,1,2021-08-17,151,30
464,6960,6965,2021-08-17 10:46:00,2021-08-17 11:11:00,1,6,-0.0063530928291502062,0,-0.0063530928291502062,0.0063530928291502062,True,False,False,2021-08-17,2021,-1,2021-08-17,151,30
465,6966,6994,2021-08-17 11:16:00,2021-08-18 09:46:00,-1,29,0.015523676990516315,0.020060451763330715,0,0.0045367747728143996,False,False,False,2021-08-18,2021,1,2021-08-18,152,30
