rank,leg,view,days,eff_1d,eff_5d,eff_20d,wick_1d
7,recovery,60m_offset_45,50,0.7878985473018691,0.3169649199974782,0.12098471888426676,0.5285145776607054
7,recovery,daily_noon_close_1130,50,1.0,0.4457645983859341,0.1655051640785143,0.5013176482379514
7,recovery,daily_proxy_close_1400,50,1.0,0.46396331151991127,0.1801523244269547,0.4910140185122345
7,recovery,daily_proxy_close_1430,50,1.0,0.43715614544564313,0.17262092024623235,0.46258138614929406
8,decline,15m_offset_10,11,0.20608575270844856,0.17775038917277983,0.10255272931678706,0.47655192965295773
8,decline,15m_offset_5,11,0.18551556454610543,0.17825435369939757,0.09885071885614459,0.4858081326095363
8,decline,1m_official,11,0.04895836594867136,0.04087444088473175,0.024718424007156094,0.3300971093534175
8,decline,30m_offset_15,11,0.389483794158218,0.2733164390173968,0.1479562764189519,0.560279049661582
8,decline,5m_offset_0,11,0.10494829628690282,0.08606100941308564,0.04927032801886774,0.424142414672763
8,decline,5m_offset_1,11,0.11483285319016016,0.09066586664369204,0.05228835575955211,0.4358347832320963
8,decline,5m_offset_2,11,0.11247268310967487,0.09104710350479929,0.05215610872672077,0.41885639043230394
8,decline,5m_offset_3,11,0.1140165507285285,0.09502530497864159,0.052502375301462935,0.43516089926061263
8,decline,5m_offset_4,11,0.11529415598393646,0.09369135752557095,0.053486157853063834,0.4548618394214598
8,decline,60m_offset_30,11,0.7597109573794072,0.4723390988283142,0.24648066803085814,0.5461631394602557
8,decline,60m_offset_45,11,0.7291326604415658,0.4930760940950421,0.2535413489893784,0.6425329860394957
8,decline,daily_noon_close_1130,11,1.0,0.6157643528610627,0.3548965715257229,0.4658667394134385
8,decline,daily_proxy_close_1400,11,1.0,0.5715177097698234,0.32225552503173094,0.5425972663720533
8,decline,daily_proxy_close_1430,11,1.0,0.7075599563146313,0.32158932295222353,0.4252405123700232
8,recovery,15m_offset_10,5,0.4131263365636199,0.15670299578624097,0.09680703347023067,0.49586825122207684
8,recovery,15m_offset_5,5,0.33826026685134114,0.14382379863087041,0.09477937956168601,0.4650419868344694
8,recovery,1m_official,5,0.11315754757500782,0.035880870050063456,0.02316161566238848,0.33977397168852247
8,recovery,30m_offset_15,5,0.5235649977807606,0.28047271007971764,0.14785889669011096,0.5701044489614793
8,recovery,5m_offset_0,5,0.20727405070795552,0.07718755233884192,0.04804020496673832,0.42644429068742645
8,recovery,5m_offset_1,5,0.20184215656161547,0.08069110177586428,0.05048618646624442,0.40593692284209826
8,recovery,5m_offset_2,5,0.20241016817848773,0.07663227984357328,0.05060611822861064,0.4151516922223963
8,recovery,5m_offset_3,5,0.1991571015235004,0.08062478861368126,0.051998703855948514,0.39232961248797116
8,recovery,5m_offset_4,5,0.20358222312814683,0.07977592045275195,0.05191694752755962,0.4148848235135108
8,recovery,60m_offset_30,5,0.7109530555539731,0.3843431657766329,0.2288415415281834,0.4190250875525116
8,recovery,60m_offset_45,5,0.6320064233357159,0.372968974782557,0.2365645141528642,0.5359920738537504
8,recovery,daily_noon_close_1130,5,1.0,0.44199962573975615,0.30429557835988136,0.5046517159657085
8,recovery,daily_proxy_close_1400,5,1.0,0.5230611753831791,0.2905021635089127,0.5650797437640994
8,recovery,daily_proxy_close_1430,5,1.0,0.4746405890629107,0.30470827103262804,0.39649809679151204
9,decline,15m_offset_10,6,0.24343613440588072,0.13093263045508047,0.025996390287221314,0.5002065150129448
9,decline,15m_offset_5,6,0.23173118032342402,0.11699504826087609,0.0249136148097007,0.49778667502741064
9,decline,1m_official,6,0.051100181301653565,0.02827432989151905,0.00590770235149235,0.3503846055910597
9,decline,30m_offset_15,6,0.34032949040295657,0.18744357006160262,0.03876488468451094,0.5201604737783738
9,decline,5m_offset_0,6,0.11317184561781753,0.0657011970821821,0.01315980648794605,0.45496641707776847
9,decline,5m_offset_1,6,0.11969762551921471,0.06195372602137961,0.013277335693654116,0.45402879923782197
